no;year;winner;gender;age;country;time;marathon
34;2013;Florence Kiplagat;Female;24;Kenya;04/05/2018 2:21;Berlin
35;2012;Geoffrey Mutai;Male;24;Kenya;04/05/2018 2:04;Berlin
36;2012;Aberu Kebede;Female;23;Ethiopia;04/05/2018 2:20;Berlin
37;2011;Patrick Musyoki;Male;21;Kenya;04/05/2018 2:03;Berlin
38;2011;Florence Kiplagat;Female;24;Kenya;04/05/2018 2:19;Berlin
39;2010;Patrick Musyoki;Male;25;Kenya;04/05/2018 2:05;Berlin
40;2010;Aberu Kebede;Female;22;Ethiopia;04/05/2018 2:23;Berlin
41;2009;Haile Gebrselassie;Male;25;Ethiopia;04/05/2018 2:06;Berlin
42;2009;Atsede Habtamu;Female;25;Ethiopia;04/05/2018 2:24;Berlin
43;2008;Haile Gebrselassie;Male;25;Ethiopia;04/05/2018 2:03;Berlin
44;2008;Irina Mikitenko;Female;25;Germany;04/05/2018 2:19;Berlin
45;2007;Haile Gebrselassie;Male;25;Ethiopia;04/05/2018 2:04;Berlin
46;2007;Gete Wami;Female;22;Ethiopia;04/05/2018 2:23;Berlin
47;2006;Haile Gebrselassie;Male;25;Ethiopia;04/05/2018 2:05;Berlin
48;2006;Gete Wami;Female;25;Ethiopia;04/05/2018 2:21;Berlin
49;2005;Philip Manyim;Male;25;Kenya;04/05/2018 2:07;Berlin
50;2005;Noguchi;Female;25;Japan;04/05/2018 2:19;Berlin
51;2004;Felix Limo;Male;25;Kenya;04/05/2018 2:06;Berlin
52;2004;Yoko Shibui;Female;25;Japan;04/05/2018 2:19;Berlin
53;2003;Paul Tergat;Male;25;Kenya;04/05/2018 2:04;Berlin
54;2003;Yasuko Hashimoto;Female;25;Japan;04/05/2018 2:26;Berlin
55;2002;Raymond Kipkoech;Male;25;Kenya;04/05/2018 2:06;Berlin
56;2002;Naoko Takahashi;Female;25;Japan;04/05/2018 2:21;Berlin
57;2001;Joseph Ngolepus;Male;25;Kenya;04/05/2018 2:08;Berlin
58;2001;Naoko Takahashi;Female;25;Japan;04/05/2018 2:19;Berlin
59;2000;Simon Biwott;Male;25;Kenya;04/05/2018 2:07;Berlin
60;2000;Kazumi Matsuo;Female;25;Japan;04/05/2018 2:26;Berlin
61;1999;Josephat Kiprono;Male;28;Kenya;04/05/2018 2:06;Berlin
62;1999;Tegla Loroupe;Female;25;Kenya;04/05/2018 2:20;Berlin
63;1998;Ronaldo da Costa;Male;25;Brazil;04/05/2018 2:06;Berlin
64;1998;Marleen Renders;Female;25;Belgium;04/05/2018 2:25;Berlin
65;1997;Elijah Lagat;Male;25;Kenya;04/05/2018 2:07;Berlin
66;1997;Catherina McKiernan;Female;25;Ireland;04/05/2018 2:23;Berlin
67;1996;Abel Antón;Male;26;Spain;04/05/2018 2:09;Berlin
68;1996;Colleen De Reuck;Female;26;South Africa;04/05/2018 2:26;Berlin
69;1995;Sammy Lelei;Male;26;Kenya;04/05/2018 2:07;Berlin
70;1995;Uta Pippig;Female;26;Germany;04/05/2018 2:25;Berlin
71;1994;António Pinto;Male;26;Portugal;04/05/2018 2:08;Berlin
